1638290670.735199 client started (15012): version 3.2a, socket /private/tmp/tmux-502/default, protocol 8
1638290670.735274 on Darwin 21.1.0 Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64
1638290670.735303 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1638290670.739535 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739543 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739551 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739559 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739568 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739578 sending message 112 to peer 0x7feb2a831000 (8 bytes)
1638290670.739586 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739594 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739603 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739612 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739621 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739630 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739638 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739646 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739654 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739661 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739668 sending message 112 to peer 0x7feb2a831000 (8 bytes)
1638290670.739675 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739683 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739690 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739697 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739704 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739711 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739718 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739725 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739733 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739756 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739765 sending message 112 to peer 0x7feb2a831000 (8 bytes)
1638290670.739773 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739780 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739788 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739795 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739801 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739807 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739813 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739821 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739832 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739839 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739847 sending message 112 to peer 0x7feb2a831000 (10 bytes)
1638290670.739854 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739861 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739867 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739874 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739881 sending message 112 to peer 0x7feb2a831000 (13 bytes)
